Main Tpc,Terms,Summary
T11,Französisch-Spanische Geschichte,"de, la, französ, paris, de la, könig, frankreich, spanisch, spani, josé, werk, san, le, del, juan, louis, van, ernannt, et, santa","Port de Sóller , ist ein Küstenort auf der spanischen Baleareninsel Mallorca. Er liegt etwa 170 Kilometer vom spanischen Festland bei Barcelona entfernt an der Nordwestküste der Insel in der Region Serra de Tramuntana. Port de Sóller gehört zum Gemeindegebiet der nahe gelegenen Kleinstadt Sóller. ..."
T12,Bildung/Wissenschaft,"universität, wissenschaft, institut, arbeit, professor, international, geschicht, studiert, hochschul, münch, gesellschaft, studium, arbeitet, akademi, institut für, medizin, promoviert, fakultät, beruf, lehr","Die Universität Ulm wurde 1967 als ""Medizinisch-Naturwissenschaftliche Hochschule Ulm"" gegründet und ist die jüngste Universität in Baden-Württemberg. Die Universität hat 2015/2016 rund 10.500 Studierende. ..."
T13,Schifffahrt,"schiff, dien, britisch, zerstör, eingesetzt, lief, kreuz, japan, bord, februar, weltkrieg, gebaut, boot, werft, reederei, passagi, klass, schwer, marin, tag","Die ""Admiral-Uschakow""-Klasse waren drei Küstenpanzerschiffe der Kaiserlich Russischen Marine, die Ende des 19. Jahrhunderts zur Abwehr der gepanzerten Schiffe der schwedischen Marine entwickelt wurden. Die drei Schiffe waren 1904 beim Beginn des Russisch-Japanischen Krieges ..."
T14,"Sport","spiel, tor, erzielt, mannschaft, rund, fc, spielt, train, gewann, minut, punkt, final, treff, turni, nationalmannschaft, einsatz, team, olymp, verlor, bestritt","Gemeinsames Wissen oder gemeinsames Vorwissen, im englischen als Common Knowledge bezeichnet, ist ein spieltheoretisches Konzept über die Informationsstruktur von Spielern. Demnach besteht das Wissen der Spieler neben der reinen Kenntnis über einen Sachverhalt oder ..."
T15,"Deutsche Geschichte","berlin, strass, weltkrieg, ddr, hamburg, preussisch, arbeitet, wilhelm, gebäud, leipzig, brandenburg, zweit weltkrieg, entstand, friedrich, potsdam, bezirk, jüdisch, die, han, arbeit","Die Berliner Sparkasse ist eine öffentlich-rechtliche Sparkasse und hat ihren Sitz in Berlin-Mitte. Ihre Trägerin ist die Landesbank Berlin AG. Mit fast 2 Millionen Kunden, 98 Filialen und mehr als 1,33 Millionen Girokonten ist die 1818 gegründete ..."
T16,Politik,"partei, polit, gewählt, vorsitz, wahl, amt, regier, präsident, stimm, abgeordnet, staat, stellvertret, parlament, nachfolg, februar, landtag, demokrat, spd, wahlkreis, vertret","In den folgenden Listen werden die Ergebnisse der Kommunalwahlen in Nordrhein-Westfalen ab 1975 zusammenhängend aufgelistet. Im ersten Teil befinden sich nach der Auflistung der Parteien und Wählergruppen die für Nordrhein-Westfalen ermittelten Gesamtergebnisse. ..."
T17,Fussball,"verein, mannschaft, fc, saison, liga, aufstieg, spielt, train, sv, stieg, meisterschaft, gelang, bundesliga, meist, klub, sc, spielzeit, abstieg, oberliga, erreicht","Der FC Remscheid ist ein Fussballverein aus Remscheid. Er entstand aus einer Fusion des BVL 08 Remscheid und des VfB Marathon 06/08 Remscheid. Der ehemalige Zweitligist ist der erfolgreichste Verein aus der bergischen Stadt und machte zudem als ""Pokalschreck"" ..."
T18,"Österreichische Geschichte","wien, österreich, salzburg, franz, kais, karl, josef, niederösterreich, graz, jänn, linz, universität wien, innsbruck, tirol, maria, schweiz, joseph, austria, weltkrieg, leopold","Die Sammlung Wiener Tramwaymuseum wurde 1966 in Wien von Helmut Portele gegründet, war von 1969 bis 1972 Arbeitsgruppe des Verbandes der Eisenbahnfreunde und ist seit 1973 als eigenständiger Verein organisiert. Sie ist Eigentümerin des Grossteils der ..."
T19,Geografie,"gemeind, stadt, ort, jahrhundert, liegt, landkreis, kreis, dorf, einwohn, gebiet, strass, nördlich, befindet, südlich, nord, ortsteil, entstand, klein, süd, kilomet","Amaliada ist eine Stadt in der griechischen Region Westgriechenland. Gemeinsam mit 19 umliegenden Dörfern bildet den gleichnamigen Gemeindebezirk mit rund 250 km2 Fläche und 28.520 Einwohnern im Nordwesten der Halbinsel Peloponnes südwestlich von Patras und nordnordwestlich ..."
T20,"US Geschichte","new, york, new york, city, staat, amerikan, york city, washington, john, usa, kongress, stat, arbeitet, county, zog, william, vereinigt staat, riv, vereinigt, gebor","Unter Upstate New York versteht man denjenigen Teil des US-Bundesstaates New York, der sich weder dem Grossraum New York City noch Long Island zurechnen lässt. New York City und Long Island werden – in begrifflicher Opposition zu Upstate – manchmal als ""Downstate"" bezeichnet."
